Month,Month Num,Day,Year,Date,Team,Location
Mar,3,28,2024,2024-03-28,Pirates,@
Mar,3,29,2024,2024-03-29,Pirates,@
Mar,3,30,2024,2024-03-30,Pirates,@
Mar,3,31,2024,2024-03-31,Pirates,@
Apr,4,1,2024,2024-04-01,Pirates,@
Apr,4,3,2024,2024-04-03,Pirates,@
Apr,4,4,2024,2024-04-04,Pirates,@
Apr,4,5,2024,2024-04-05,Pirates,
Apr,4,6,2024,2024-04-06,Pirates,
Apr,4,7,2024,2024-04-07,Pirates,
Apr,4,8,2024,2024-04-08,Pirates,
Apr,4,9,2024,2024-04-09,Pirates,
Apr,4,11,2024,2024-04-11,Pirates,@
Apr,4,12,2024,2024-04-12,Pirates,@
Apr,4,13,2024,2024-04-13,Pirates,@
Apr,4,14,2024,2024-04-14,Pirates,@
Apr,4,15,2024,2024-04-15,Pirates,@
Apr,4,16,2024,2024-04-16,Pirates,@
Apr,4,17,2024,2024-04-17,Pirates,@
Apr,4,19,2024,2024-04-19,Pirates,
Apr,4,20,2024,2024-04-20,Pirates,
Apr,4,21,2024,2024-04-21,Pirates,
Apr,4,22,2024,2024-04-22,Pirates,
Apr,4,23,2024,2024-04-23,Pirates,
Apr,4,24,2024,2024-04-24,Pirates,
Apr,4,25,2024,2024-04-25,Pirates,
Apr,4,26,2024,2024-04-26,Pirates,@
Apr,4,27,2024,2024-04-27,Pirates,@
Apr,4,28,2024,2024-04-28,Pirates,@
Apr,4,29,2024,2024-04-29,Pirates,@
Apr,4,30,2024,2024-04-30,Pirates,@
May,5,1,2024,2024-05-01,Pirates,@
May,5,3,2024,2024-05-03,Pirates,
May,5,4,2024,2024-05-04,Pirates,
May,5,5,2024,2024-05-05,Pirates,
May,5,6,2024,2024-05-06,Pirates,
May,5,7,2024,2024-05-07,Pirates,
May,5,8,2024,2024-05-08,Pirates,
May,5,10,2024,2024-05-10,Pirates,
May,5,11,2024,2024-05-11,Pirates,
May,5,12,2024,2024-05-12,Pirates,
May,5,13,2024,2024-05-13,Pirates,@
May,5,14,2024,2024-05-14,Pirates,@
May,5,15,2024,2024-05-15,Pirates,@
May,5,16,2024,2024-05-16,Pirates,@
May,5,17,2024,2024-05-17,Pirates,@
